PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS ,,,,,,,,,,,,,,
REGION TYPE,REGION,YEAR,WEEK,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,AGE 25-64,AGE 25-49,AGE 50-64,AGE 65
National,X,2005,25,1628,170645,587,0.957569141,0.954027367,580,507,431,X,X,110
National,X,2005,26,1359,160216,550,0.894837476,0.84822989,497,452,326,X,X,84
National,X,2005,27,1198,142302,533,0.798205215,0.841871513,426,390,313,X,X,69
National,X,2005,28,1148,157068,524,0.757812482,0.730893626,389,361,323,X,X,75
National,X,2005,29,1068,149699,507,0.825963378,0.713431619,333,364,303,X,X,68
National,X,2005,30,990,147612,492,0.744926979,0.670677181,328,327,279,X,X,56
National,X,2005,31,982,142468,488,0.787049225,0.689277592,331,326,267,X,X,58
National,X,2005,32,1023,145121,479,0.68472377,0.70492899,319,350,297,X,X,57
National,X,2005,33,928,150673,480,0.747360922,0.615903314,330,326,225,X,X,47
National,X,2005,34,922,151290,428,0.673974459,0.609425606,292,311,265,X,X,54
National,X,2005,35,1033,151854,420,0.869661601,0.68025867,342,367,273,X,X,51
National,X,2005,36,1061,136817,416,0.899528964,0.775488426,338,396,264,X,X,63
National,X,2005,37,1026,150127,408,0.854634629,0.68342137,302,383,289,X,X,52
National,X,2005,38,1219,156067,419,1.011226445,0.781074795,368,516,285,X,X,50
National,X,2005,39,1204,149205,447,0.977808467,0.806943467,381,484,276,X,X,63
National,X,2005,40,3586,333164,1113,1.177776525,1.076346784,1172,1256,924,X,X,234
National,X,2005,41,3582,338343,1160,1.21946603,1.058688964,1285,1247,853,X,X,197
National,X,2005,42,4122,369609,1216,1.306897461,1.115232584,1393,1525,992,X,X,212
National,X,2005,43,4248,377999,1237,1.33930904,1.123812497,1439,1599,997,X,X,213
National,X,2005,44,5005,398840,1280,1.583741394,1.254889179,1639,1894,1190,X,X,282
National,X,2005,45,5038,376924,1272,1.470722762,1.336608972,1563,1929,1251,X,X,295
National,X,2005,46,5276,382697,1277,1.611195454,1.378636362,1679,1951,1331,X,X,315
National,X,2005,47,4802,298578,1301,1.826994002,1.608289961,1666,1593,1249,X,X,294
National,X,2005,48,5966,402264,1325,1.774816194,1.483105622,1858,2176,1583,X,X,349
National,X,2005,49,6371,385248,1328,1.944506879,1.653739929,1987,2463,1534,X,X,387
National,X,2005,50,7697,383548,1318,2.355115134,2.006789242,2241,3063,1997,X,X,396
National,X,2005,51,8577,333921,1287,3.108775143,2.568571608,2696,3058,2293,X,X,530
National,X,2005,52,8842,289638,1273,3.282376122,3.052776224,2678,2561,2882,X,X,721
National,X,2006,1,8339,343871,1319,2.629139893,2.425037296,2422,2366,2817,X,X,734
National,X,2006,2,7882,393716,1339,2.25149509,2.001950645,2272,2921,2155,X,X,534
National,X,2006,3,7858,381699,1297,2.358576502,2.058690224,2249,3150,1999,X,X,460
National,X,2006,4,9114,411882,1331,2.41881416,2.212769677,2643,3646,2281,X,X,544
National,X,2006,5,9551,411291,1320,2.52752209,2.322200097,2612,4153,2288,X,X,498
National,X,2006,6,10427,418286,1311,2.649537522,2.492792013,2754,4593,2543,X,X,537
National,X,2006,7,11226,401661,1288,3.129353212,2.794894202,2624,4979,2992,X,X,631
National,X,2006,8,11901,400827,1288,3.124419405,2.969111362,2753,5284,3073,X,X,791
National,X,2006,9,11343,399459,1275,3.130991307,2.839590546,2579,5008,2989,X,X,767
National,X,2006,10,11261,405365,1257,3.082609416,2.777990206,2564,5106,2913,X,X,678
National,X,2006,11,9322,376971,1241,2.644306663,2.472869266,2330,4154,2231,X,X,607
National,X,2006,12,8064,369804,1217,2.422945275,2.180614596,1895,3709,1919,X,X,541
National,X,2006,13,7313,362605,1165,2.311405809,2.016795135,1697,3393,1745,X,X,478
National,X,2006,14,5738,349662,1133,1.863832283,1.641013321,1437,2660,1299,X,X,342
National,X,2006,15,4547,334760,1087,1.449434991,1.358286534,1181,2014,1067,X,X,285
National,X,2006,16,3550,310641,1045,1.302273056,1.142798278,959,1479,873,X,X,239
National,X,2006,17,3177,305389,1017,1.134588871,1.040312519,836,1382,779,X,X,180
National,X,2006,18,2780,288278,958,1.062551758,0.964346915,745,1208,637,X,X,190
National,X,2006,19,2592,276338,919,1.034284232,0.937981747,745,1039,621,X,X,187
National,X,2006,20,2428,256267,877,1.017909876,0.94744934,715,969,582,X,X,162
National,X,2006,21,2061,231075,783,0.918150852,0.891918208,699,764,452,X,X,146
National,X,2006,22,1645,190252,649,0.930990336,0.864642684,572,561,404,X,X,108
National,X,2006,23,2075,213847,635,0.857294424,0.970319902,754,626,564,X,X,131
National,X,2006,24,1430,169353,615,0.786294126,0.84439012,514,447,388,X,X,81
National,X,2006,25,1300,167770,610,0.719426395,0.774870358,463,409,328,X,X,100
National,X,2006,26,1271,154741,572,0.71886838,0.821372487,466,390,323,X,X,92
National,X,2006,27,1215,139216,565,0.77480697,0.872744512,437,402,305,X,X,71
National,X,2006,28,1617,175259,577,0.765980254,0.922634501,549,511,449,X,X,108
National,X,2006,29,1553,172654,564,0.642808854,0.899486835,541,440,460,X,X,112
National,X,2006,30,1455,172581,564,0.622032769,0.843082379,502,403,422,X,X,128
National,X,2006,31,1428,161937,551,0.61632594,0.881824413,508,430,402,X,X,88
National,X,2006,32,1373,168024,547,0.685693572,0.81714517,473,435,383,X,X,82
National,X,2006,33,1457,167183,536,0.622697338,0.871500093,510,466,390,X,X,91
National,X,2006,34,1138,154071,503,0.611817262,0.738620506,404,379,279,X,X,76
National,X,2006,35,1224,153390,488,0.63883054,0.797965969,398,457,292,X,X,77
National,X,2006,36,1463,144289,491,0.80662717,1.013937306,492,506,396,X,X,69
National,X,2006,37,1406,159603,487,0.762448356,0.880935822,446,521,361,X,X,78
National,X,2006,38,1487,157627,455,0.8134063,0.943366301,511,534,362,X,X,80
National,X,2006,39,1433,160732,469,0.807934421,0.891546176,476,512,364,X,X,81
National,X,2006,40,4513,375076,1323,1.153839127,1.203222814,1434,1699,1116,X,X,264
National,X,2006,41,4072,384920,1361,1.148188194,1.057882157,1278,1602,992,X,X,200
National,X,2006,42,4737,419005,1425,1.227359915,1.130535435,1543,1830,1099,X,X,265
National,X,2006,43,4888,434287,1445,1.217443946,1.125522984,1582,1996,1086,X,X,224
National,X,2006,44,5380,445334,1473,1.328132004,1.208082024,1672,2270,1157,X,X,281
National,X,2006,45,6139,454901,1497,1.477541091,1.349524402,2112,2393,1320,X,X,314
National,X,2006,46,6668,453945,1474,1.533901094,1.468900417,2355,2681,1342,X,X,290
National,X,2006,47,6156,336822,1488,1.912694138,1.827671589,2188,2202,1409,X,X,357
National,X,2006,48,7530,452089,1486,1.837999317,1.665601242,2573,2792,1774,X,X,391
National,X,2006,49,8122,436741,1493,1.953755771,1.859683428,2643,3244,1804,X,X,431
National,X,2006,50,10396,435177,1492,2.404074677,2.388913017,3270,4470,2177,X,X,479
National,X,2006,51,10192,365334,1435,2.874526768,2.789775931,3387,4065,2237,X,X,503
National,X,2006,52,8913,286087,1359,3.025967864,3.115485849,3243,2868,2216,X,X,586
National,X,2007,1,8386,369521,1490,2.378170148,2.269424471,2927,2481,2394,X,X,584
National,X,2007,2,7761,416464,1467,2.092322931,1.863546429,2507,2756,2018,X,X,480
National,X,2007,3,7909,395477,1470,2.293959152,1.999863456,2548,3248,1701,X,X,412
National,X,2007,4,10888,446119,1495,2.745009072,2.440604413,3410,4684,2257,X,X,537
National,X,2007,5,12120,428241,1472,3.044339667,2.83018207,3456,5648,2559,X,X,457
National,X,2007,6,14197,454533,1484,3.499986832,3.123425582,3840,6995,2910,X,X,452
National,X,2007,7,14031,429057,1461,3.578509646,3.270194869,3879,6668,2955,X,X,529
National,X,2007,8,14048,442099,1460,3.289786094,3.177568825,3728,6537,3175,X,X,608
National,X,2007,9,11801,433281,1428,2.891491611,2.723636624,3016,5429,2778,X,X,578
National,X,2007,10,10715,428255,1408,2.620747516,2.502013987,2798,4937,2533,X,X,447
National,X,2007,11,9597,395394,1361,2.533871083,2.427199199,2668,4031,2426,X,X,472
National,X,2007,12,7562,385735,1333,2.07251264,1.960413237,2049,3307,1857,X,X,349
National,X,2007,13,6148,386327,1303,1.870843709,1.591397961,1664,2508,1625,X,X,351
National,X,2007,14,4958,361955,1284,1.40042142,1.369783537,1445,1803,1379,X,X,331
National,X,2007,15,4869,357183,1240,1.468873785,1.36316678,1429,1821,1274,X,X,345
National,X,2007,16,4179,356055,1206,1.155136619,1.173695075,1257,1523,1112,X,X,287
National,X,2007,17,3695,347413,1152,1.079012669,1.063575629,1152,1386,937,X,X,220
National,X,2007,18,3077,317311,1119,0.984919501,0.969711104,969,1143,755,X,X,210
National,X,2007,19,2860,296262,1057,1.033247659,0.965361741,917,1055,713,X,X,175
National,X,2007,20,2442,285031,1025,0.926649488,0.856748915,815,861,590,X,X,176
National,X,2007,21,2243,259803,925,0.920100405,0.863346459,761,785,561,X,X,136
National,X,2007,22,2058,220020,831,0.95409407,0.935369512,722,652,554,X,X,130
National,X,2007,23,1679,225197,796,0.763277995,0.745569435,628,510,422,X,X,119
National,X,2007,24,1614,217982,771,0.817220025,0.740428109,598,469,413,X,X,134
National,X,2007,25,1456,216378,749,0.764586084,0.672896505,521,441,394,X,X,100
National,X,2007,26,1455,218376,742,0.793127059,0.666282009,514,408,431,X,X,102
National,X,2007,27,1169,176387,711,0.669089516,0.662747255,394,360,313,X,X,102
National,X,2007,28,1086,199040,697,0.62115042,0.545618971,366,372,296,X,X,52
National,X,2007,29,1211,206574,698,0.603659013,0.5862306,446,345,335,X,X,85
National,X,2007,30,1356,205241,691,0.649058493,0.660686705,477,392,391,X,X,96
National,X,2007,31,1037,194161,677,0.568338364,0.53409284,321,311,344,X,X,61
National,X,2007,32,1172,200154,667,0.651546019,0.585549127,389,385,320,X,X,78
National,X,2007,33,1283,207580,666,0.652175701,0.618074959,439,411,338,X,X,95
National,X,2007,34,1448,210629,671,0.80384852,0.687464689,495,457,408,X,X,88
National,X,2007,35,1526,213219,652,0.787458252,0.715696068,502,500,416,X,X,108
National,X,2007,36,1554,187384,641,0.943262694,0.829313068,519,545,417,X,X,73
National,X,2007,37,1694,211509,638,0.94693188,0.800911545,496,682,417,X,X,99
National,X,2007,38,1913,208278,632,0.987145584,0.918483949,609,681,502,X,X,121
National,X,2007,39,2228,273623,703,1.05206477,0.814259035,729,788,583,X,X,128
National,X,2007,40,5641,526227,1373,0.995183768,1.071970841,2187,1997,1167,X,X,290
National,X,2007,41,6444,529126,1429,1.220030494,1.217857372,2387,2433,1321,X,X,303
National,X,2007,42,6941,557172,1449,1.285478214,1.24575535,2583,2551,1455,X,X,352
National,X,2007,43,7434,546680,1477,1.377504869,1.359844882,2871,2788,1400,X,X,375
National,X,2007,44,7915,547104,1485,1.467245346,1.446708487,3074,2998,1475,X,X,368
National,X,2007,45,8687,566717,1539,1.558405902,1.532863846,3398,3303,1609,X,X,377
National,X,2007,46,9104,546284,1516,1.619580739,1.666532426,3563,3290,1780,X,X,471
National,X,2007,47,8570,433951,1523,1.811204317,1.974877348,3651,2631,1812,X,X,476
National,X,2007,48,9171,548159,1513,1.618647104,1.673054716,3679,3158,1921,X,X,413
National,X,2007,49,8436,516263,1487,1.621237134,1.634050862,3365,2907,1772,X,X,392
National,X,2007,50,8091,463416,1453,1.673513323,1.745947486,3298,2694,1697,X,X,402
National,X,2007,51,8750,451862,1420,1.950957082,1.936431919,3580,2724,1987,X,X,459
National,X,2007,52,8902,357646,1426,2.500188384,2.489053422,3848,2348,2184,X,X,522
National,X,2008,1,9706,430603,1486,2.439387548,2.254048393,3737,2568,2731,X,X,670
National,X,2008,2,11115,531444,1509,2.29319128,2.091471538,3393,3644,3262,X,X,816
National,X,2008,3,12197,516966,1511,2.629066086,2.359342781,3664,4900,3038,X,X,595
National,X,2008,4,17171,516683,1508,3.929656224,3.323314295,4289,7661,4499,X,X,722
National,X,2008,5,24812,559609,1514,4.992016051,4.433810035,5222,11974,6595,X,X,1021
National,X,2008,6,31896,596692,1526,5.777595567,5.345471365,6059,15323,9212,X,X,1302
National,X,2008,7,31625,583210,1518,5.98317541,5.422575059,6244,14336,9487,X,X,1558
National,X,2008,8,30245,570334,1497,5.616767538,5.30303296,5922,12783,9812,X,X,1728
National,X,2008,9,25027,589626,1453,4.53234006,4.244555023,4978,9958,8583,X,X,1508
National,X,2008,10,20254,558269,1445,3.832486291,3.628000122,4420,7849,6781,X,X,1204
National,X,2008,11,16714,550776,1412,3.215218113,3.034627507,3878,6112,5676,X,X,1048
National,X,2008,12,13040,514205,1395,2.692446472,2.535953559,3153,4493,4520,X,X,874
National,X,2008,13,10376,504350,1379,2.033655835,2.057301477,2689,3395,3496,X,X,796
National,X,2008,14,8583,492850,1327,1.652750483,1.7415035,2372,2697,2872,X,X,642
National,X,2008,15,7045,500881,1318,1.311296364,1.406521709,2045,2354,2160,X,X,486
National,X,2008,16,6079,479187,1288,1.165197081,1.268607037,1857,2013,1802,X,X,407
National,X,2008,17,4953,459808,1208,1.020347634,1.07718874,1572,1713,1345,X,X,323
National,X,2008,18,4224,425187,1147,0.877607228,0.993445237,1466,1416,1107,X,X,235
National,X,2008,19,4011,440183,1098,0.825106626,0.911211928,1356,1381,1066,X,X,208
National,X,2008,20,3904,401601,1074,0.787314875,0.972109133,1439,1274,980,X,X,211
National,X,2008,21,3646,367075,945,0.805438573,0.993257509,1393,1116,926,X,X,211
National,X,2008,22,3803,348477,869,0.886061332,1.091320231,1473,1083,1004,X,X,243
National,X,2008,23,2933,330127,789,0.743742683,0.888445962,1159,906,729,X,X,139
National,X,2008,24,2906,327366,764,0.706842045,0.887691452,1113,886,720,X,X,187
National,X,2008,25,2842,321789,755,0.655943482,0.88318743,1115,855,712,X,X,160
National,X,2008,26,2534,306499,730,0.633491767,0.826756368,937,810,654,X,X,133
National,X,2008,27,2405,307073,713,0.571837181,0.783201389,913,762,575,X,X,155
National,X,2008,28,2431,311423,710,0.558278241,0.780610295,881,749,669,X,X,132
National,X,2008,29,2319,301532,696,0.597893282,0.769072603,826,703,619,X,X,171
National,X,2008,30,2166,300292,694,0.577221624,0.721297937,779,704,552,X,X,131
National,X,2008,31,2289,304175,676,0.596987365,0.752527328,788,763,599,X,X,139
National,X,2008,32,2220,294930,668,0.564652873,0.752720985,679,706,619,X,X,216
National,X,2008,33,2368,298701,657,0.585681703,0.79276601,789,745,650,X,X,184
National,X,2008,34,2237,300714,657,0.503985403,0.743896194,730,754,619,X,X,134
National,X,2008,35,2429,298342,636,0.468139144,0.814166292,794,892,616,X,X,127
National,X,2008,36,2461,293535,666,0.576454849,0.838400872,774,880,663,X,X,144
National,X,2008,37,2788,327567,685,0.681360615,0.851123587,859,994,758,X,X,177
National,X,2008,38,3735,336560,679,0.794763739,1.109757547,1062,1527,958,X,X,188
National,X,2008,39,3400,329731,716,0.868115785,1.031143569,983,1306,932,X,X,179
National,X,2008,40,5687,555999,1435,1.068281365,1.022843566,1535,2352,1476,X,X,324
National,X,2008,41,5959,578446,1500,1.007556409,1.030173949,1861,2291,1485,X,X,322
National,X,2008,42,5896,582351,1525,0.979398906,1.012447819,1869,2219,1467,X,X,341
National,X,2008,43,6485,598473,1527,1.049429449,1.083591073,1976,2474,1668,X,X,367
National,X,2008,44,6987,599343,1545,1.132182469,1.165776525,2119,2547,1869,X,X,452
National,X,2008,45,7297,612526,1555,1.131560877,1.191296369,2276,2668,1981,X,X,372
National,X,2008,46,7667,598635,1555,1.154693178,1.280747033,2512,2854,1889,X,X,412
National,X,2008,47,7733,608646,1563,1.204480411,1.270525067,2600,2828,1893,X,X,412
National,X,2008,48,7634,478386,1523,1.360813268,1.595782485,3024,2412,1741,X,X,457
National,X,2008,49,8708,597052,1551,1.303219081,1.458499427,3114,2913,2212,X,X,469
National,X,2008,50,8689,579573,1543,1.302042279,1.499207175,3252,3024,1974,X,X,439
National,X,2008,51,7812,479318,1416,1.45108668,1.629815696,3137,2579,1640,X,X,456
National,X,2008,52,8706,403876,1484,1.799273677,2.155612119,3897,2367,1947,X,X,495
National,X,2008,53,8603,425780,1490,2.121336633,2.020527033,3814,2042,2163,X,X,584
National,X,2009,1,8956,579428,1539,1.471378404,1.545662274,3245,2548,2606,X,X,557
National,X,2009,2,9289,565631,1512,1.615549611,1.642236723,3142,3345,2329,X,X,473
National,X,2009,3,11456,582932,1566,1.953326026,1.965237798,3602,4597,2821,X,X,436
National,X,2009,4,14324,611176,1554,2.42906504,2.343678417,4039,6602,3215,X,X,468
National,X,2009,5,18268,638613,1580,2.966860533,2.860574401,4606,8882,4240,X,X,540
National,X,2009,6,21667,648304,1569,3.573536976,3.342104938,5064,11215,4636,X,X,752
National,X,2009,7,20022,624583,1543,3.366529007,3.205658816,4848,9851,4685,X,X,638
National,X,2009,8,20450,659573,1544,3.296195848,3.100490772,4694,10092,5007,X,X,657
National,X,2009,9,18441,623389,1534,3.172267976,2.958185018,4420,9116,4272,X,X,633
National,X,2009,10,15711,637672,1524,2.580404995,2.463805844,4046,7446,3601,X,X,618
National,X,2009,11,13277,605503,1494,2.429222856,2.192722414,3657,6036,3002,X,X,582
National,X,2009,12,11400,608342,1470,1.990279292,1.873945905,3237,5052,2661,X,X,450
National,X,2009,13,9669,586651,1440,1.724225844,1.648169014,2829,4283,2158,X,X,399
National,X,2009,14,8460,564460,1422,1.603548394,1.498777593,2577,3407,2085,X,X,391
National,X,2009,15,7222,558837,1415,1.284178496,1.292326743,2371,2761,1727,X,X,363
National,X,2009,16,7348,577836,1445,1.293200231,1.271641088,2353,2855,1743,X,X,397
National,X,2009,17,18627,624734,1405,2.740123312,2.981588964,4821,8043,5093,X,X,670
National,X,2009,18,14578,598189,1422,2.223911451,2.437022413,3920,6221,3875,X,X,562
National,X,2009,19,12554,550300,1372,1.766568389,2.281301108,3236,5888,3018,X,X,412
National,X,2009,20,20774,544432,1331,1.921705672,3.81571987,4188,12026,4136,X,X,424
National,X,2009,21,22394,531526,1314,1.861104257,4.21315232,4496,12461,4950,X,X,487
National,X,2009,22,17105,538177,1305,1.684227731,3.178322373,3865,8615,4213,X,X,412
National,X,2009,23,12392,493761,1296,1.739302929,2.509716239,3072,5660,3276,X,X,384
National,X,2009,24,10780,521701,1280,1.830014311,2.06631768,2623,4740,3084,X,X,333
National,X,2009,25,8801,512268,1279,1.581280179,1.718046023,2299,3700,2476,X,X,326
National,X,2009,26,7422,475877,1237,1.491724676,1.559646715,2145,2893,2023,X,X,361
National,X,2009,27,6290,480680,1246,1.388995043,1.308562869,1701,2481,1815,X,X,293
National,X,2009,28,5964,502466,1248,1.347020581,1.186945982,1581,2437,1708,X,X,238
National,X,2009,29,5735,503971,1248,1.160564411,1.137962303,1608,2285,1611,X,X,231
National,X,2009,30,5587,485804,1254,1.208500788,1.150052284,1519,2199,1575,X,X,294
National,X,2009,31,5526,496666,1230,1.155441277,1.112618943,1651,2082,1530,X,X,263
National,X,2009,32,5877,506019,1234,1.145178851,1.16141884,1645,2321,1646,X,X,265
National,X,2009,33,8941,544827,1286,1.466396144,1.641071386,2167,4210,2168,X,X,396
National,X,2009,34,14556,588916,1320,2.380171618,2.471659795,2883,8253,2977,X,X,443
National,X,2009,35,21350,573972,1358,3.446813099,3.719693644,3713,13114,3982,X,X,541
National,X,2009,36,22561,571201,1367,4.053148738,3.949747987,4087,13407,4547,X,X,520
National,X,2009,37,26091,638302,1380,4.266208693,4.087563567,4445,15326,5668,X,X,652
National,X,2009,38,24454,608464,1313,4.21579403,4.018972363,4462,14152,5252,X,X,588
National,X,2009,39,27919,606458,1331,4.886097941,4.603616409,4974,16291,6090,X,X,564
National,X,2009,40,48420,855346,2056,6.069228867,5.660867064,9302,27406,X,8554,2255,903
National,X,2009,41,58196,853912,2134,7.094668029,6.815222177,11527,32585,X,10271,2800,1013
National,X,2009,42,69068,906536,2162,7.715102298,7.618892134,13187,39364,X,12399,3048,1070
National,X,2009,43,66411,898860,2167,7.551343812,7.388358588,13174,36860,X,12166,3083,1128
National,X,2009,44,57017,899425,2197,6.671178189,6.339272313,12161,30860,X,10250,2672,1074
National,X,2009,45,42729,864348,2191,5.206326288,4.943494981,10151,21112,X,8174,2314,978
National,X,2009,46,32520,853552,2157,4.044774799,3.809961197,8979,14652,X,6163,1843,883
National,X,2009,47,22508,654101,2146,3.497217284,3.441058797,7716,8237,X,4378,1406,771
National,X,2009,48,21730,814550,2122,2.690227291,2.667730649,7195,7988,X,4259,1470,818
National,X,2009,49,19325,781811,2093,2.471187845,2.471825032,6490,7218,X,3588,1314,715
National,X,2009,50,17081,728401,2014,2.447727493,2.344999526,6275,5785,X,3249,1113,659
National,X,2009,51,14575,536961,1934,2.645938416,2.714349832,6078,4127,X,2677,1049,644
National,X,2009,52,15613,583299,1937,2.615670398,2.676671827,6598,3726,X,3202,1284,803
National,X,2010,1,14299,721138,1996,1.907117604,1.982838236,4998,3961,X,3333,1244,763
National,X,2010,2,14088,770895,2016,1.8673753,1.827486234,4877,4614,X,2793,1182,622
National,X,2010,3,14757,766177,2053,1.880723306,1.926056251,5399,5079,X,2693,1008,578
National,X,2010,4,15122,785580,2026,1.969084332,1.924947173,5333,5655,X,2560,1046,528
National,X,2010,5,16037,767773,1996,2.113868111,2.088768425,5816,6142,X,2581,948,550
National,X,2010,6,15381,756068,1977,2.096945831,2.034340826,5496,5577,X,2644,1006,658
National,X,2010,7,15065,762208,1954,1.902943456,1.976494605,5388,5536,X,2649,994,498
National,X,2010,8,16087,806925,1990,1.969514623,1.993617746,5040,6207,X,2943,1218,679
National,X,2010,9,14486,781411,1953,1.923310367,1.853825964,4281,5685,X,2763,1085,672
National,X,2010,10,14354,768702,1946,1.896586165,1.867303584,4612,5270,X,2660,1112,700
National,X,2010,11,12601,741293,1933,1.751805551,1.699867664,4063,4466,X,2468,976,628
National,X,2010,12,11191,747358,1917,1.526319223,1.497408203,3625,4108,X,2097,827,534
